RK,PLAYER,AGE,EVENTS,ROUNDS,CUTS MADE,TOP 10,WINS,CUP POINTS,EARNINGS,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.,EAGLES,BIRDIES,PARS,BOGEYS,BIRDIES/RD,HOLES/EAGLE
181,Michael Gligic,--,0,48,8,0,0,132,"$238,411.00",298.4,59.5,84,67.1,1.788,50.8,5,172,545,124,3.583,173
183,Martin Laird,38,12,39,7,1,0,106,"$232,786.00",302.1,63.7,46,70.5,1.806,32.2,8,140,446,98,3.590,88
184,J.J. Spaun,30,0,58,10,0,0,102,"$232,472.00",297.4,57.8,95,66.0,1.758,45.8,4,221,619,175,3.810,261
185,Jim Furyk,51,0,39,6,0,0,108,"$224,450.00",280.2,74.5,192,74.2,1.793,45.5,3,135,461,93,3.462,234
186,Zack Sucher,--,0,36,5,0,0,114,"$215,568.00",301.6,53.3,58,68.4,1.790,48.3,2,140,390,108,3.889,324
188,Vincent Whaley,--,15,38,6,1,0,106,"$207,571.00",300.9,58.4,65,66.7,1.761,29.4,4,147,415,103,3.868,171
189,Matt Every,37,0,45,6,0,0,94,"$202,546.00",292.3,58.0,140,65.1,1.769,39.5,3,178,456,143,3.956,270
192,Doug Ghim,--,0,40,5,0,0,102,"$187,442.00",296.0,63.7,111,69.6,1.816,52.6,3,141,459,105,3.525,240
194,Rhein Gibson,--,0,50,10,0,0,87,"$182,113.00",297.8,51.9,90,65.2,1.768,56.3,4,190,552,129,3.800,225
197,Kevin Chappell,34,0,41,7,0,0,75,"$176,506.00",300.6,56.5,67,65.2,1.748,47.6,5,158,447,110,3.854,148
200,Ryan Brehm,--,0,50,9,0,0,75,"$162,079.00",315.3,48.8,3,68.8,1.819,49.3,6,187,557,131,3.740,150
205,Bill Haas,39,0,44,7,0,0,59,"$130,293.00",294.3,61.3,126,69.4,1.811,50.8,1,160,503,113,3.636,792
208,Michael Gellerman,--,0,42,7,0,0,61,"$125,992.00",293.5,62.5,136,68.3,1.783,33.3,4,155,469,112,3.690,189
211,Ben Taylor,--,0,42,4,0,0,54,"$99,775.00",295.2,57.9,116,68.9,1.808,49.1,5,141,490,110,3.357,151
213,Martin Trainer,30,0,46,2,0,0,31,"$89,482.00",302.1,48.1,45,52.1,1.810,47.9,6,133,465,178,2.891,138
217,Arjun Atwal,48,0,31,5,0,0,32,"$63,252.00",286.5,66.5,172,66.5,1.806,50.0,5,107,350,89,3.452,112
218,Anirban Lahiri,33,0,35,5,0,0,27,"$58,388.00",294.4,60.7,125,68.1,1.767,51.7,2,147,373,89,4.200,315
219,Bo Van Pelt,46,0,43,4,0,0,15,"$50,838.00",291.7,59.2,144,65.1,1.827,25.9,2,128,489,125,2.977,387
222,Nelson Lauta Ledesma,--,0,40,3,0,0,27,"$45,520.00",298.2,51.0,86,62.6,1.761,48.1,3,144,441,110,3.600,240
 ,Will Gordon,--,11,32,7,2,0,0,--,308.8,57.4,17,71.7,1.797,50.0,4,131,353,83,4.094,144
