PLAYER,LAUNCH_ANGLE_ROUNDS,LAUNCH_ANGLE_AVG,TOTAL VERT. LAUNCH ANGLE,LAUNCH_ANGLE_TOTAL ATTEMPTS,LOWEST LAUNCH ANGLE,STEEPEST LAUNCH ANGLE
Josh Teater,43,11.34,"2,405.11",212,6.57,16.97
Nelson Ledesma,42,11.33,951.35,84,6.88,16.18
Brian Stuard,83,11.32,"5,638.73",498,5.94,17.13
Andrew Landry,63,11.31,"5,192.78",459,7.25,16.04
Wyndham Clark,65,11.31,"1,831.63",162,6.96,15.44
Mackenzie Hughes,70,11.29,"2,857.15",253,7.24,15.25
Michael Thompson,62,11.27,"2,592.25",230,7.30,15.27
Rickie Fowler,44,11.26,"3,693.45",328,5.44,15.89
Patton Kizzire,55,11.25,"1,688.05",150,6.67,15.39
Kramer Hickok,51,11.19,"2,360.56",211,6.54,14.88
Kevin Streelman,73,11.18,"5,233.15",468,6.89,16.34
Louis Oosthuizen,48,11.18,"4,092.56",366,5.86,16.57
Richy Werenski,60,11.12,"2,046.04",184,6.61,15.22
Ryan Palmer,68,11.11,"2,444.21",220,1.46,18.04
Denny McCarthy,81,11.08,"4,799.12",433,5.28,15.30
Dominic Bozzelli,38,11.08,"1,629.22",147,7.27,15.31
Rory Sabbatini,66,11.04,"5,090.01",461,4.65,16.46
D.J. Trahan,49,11.04,"1,136.68",103,6.83,16.43
Matt Every,47,11.01,"1,519.74",138,7.06,14.29
Adam Hadwin,65,10.99,"5,376.17",489,5.26,15.74
Scottie Scheffler,82,10.96,"2,937.77",268,4.27,16.75
Tom Hoge,74,10.94,"2,538.91",232,6.83,14.53
Matt Kuchar,56,10.93,"4,545.96",416,5.93,16.61
Chris Stroud,48,10.89,"3,364.35",309,5.32,15.09
Tyler Duncan,83,10.86,"5,573.00",513,6.19,14.94
Jordan Spieth,62,10.84,"4,475.93",413,5.67,15.73
Chesson Hadley,62,10.82,"1,515.34",140,5.52,15.37
Charley Hoffman,63,10.82,"4,361.12",403,5.31,15.55
Anirban Lahiri,35,10.81,778.44,72,5.84,16.02
Cam Davis,62,10.81,"1,631.75",151,5.84,15.00
Dustin Johnson,49,10.80,"1,652.13",153,4.78,17.54
Fabián Gómez,59,10.80,"1,469.34",136,6.58,15.11
Ben Taylor,44,10.77,991.04,92,6.26,15.32
Scott Brown,64,10.74,"1,932.74",180,6.27,15.17
Joel Dahmen,79,10.69,"5,838.56",546,3.42,15.83
J.T. Poston,78,10.67,"5,046.03",473,6.52,14.65
Jason Day,53,10.66,"1,524.51",143,6.50,16.02
Joseph Bramlett,57,10.65,"1,075.40",101,6.20,13.99
Roger Sloan,55,10.62,"3,292.31",310,6.04,15.56
Hideki Matsuyama,74,10.57,"2,589.21",245,2.91,17.03
C.T. Pan,56,10.55,"4,229.16",401,2.94,15.09
Peter Malnati,61,10.54,"4,089.31",388,5.08,15.55
Martin Trainer,48,10.51,"1,272.01",121,6.25,13.85
Keith Mitchell,64,10.41,"1,676.70",161,5.34,15.67
Patrick Cantlay,46,10.34,"3,650.75",353,3.93,14.68
Matthew Wolff,74,10.30,"2,328.29",226,4.50,15.13
Brooks Koepka,40,10.25,"1,353.41",132,6.47,13.92
Rafa Cabrera Bello,53,10.22,"3,586.66",351,5.11,14.03
Justin Thomas,66,10.21,"1,765.47",173,3.92,15.54
Paul Casey,56,10.18,"1,629.25",160,6.00,15.54
Brendan Steele,68,10.14,"3,427.92",338,2.79,14.48
Russell Henley,67,10.12,"2,247.29",222,3.97,14.13
Chris Baker,53,10.12,"1,295.79",128,5.81,15.64
Kevin Kisner,73,10.11,"4,388.81",434,4.48,15.96
Jim Furyk,39,10.11,"2,800.57",277,5.13,14.82
Jason Dufner,62,10.09,"4,701.76",466,2.80,15.95
Abraham Ancer,74,10.06,"4,757.68",473,-1.27,16.71
Kyle Stanley,57,9.97,"1,655.72",166,4.66,14.58
Martin Laird,39,9.95,"1,014.46",102,5.82,12.66
Rhein Gibson,54,9.90,"1,079.04",109,5.59,13.31
Bo Hoag,71,9.89,"2,779.93",281,4.86,15.90
Tyler McCumber,57,9.88,"1,729.69",175,2.67,13.53
Ryan Armour,60,9.82,"3,701.17",377,3.28,14.95
Kevin Na,71,9.79,"3,592.68",367,3.95,16.03
Harry Higgs,83,9.77,"2,627.47",269,4.65,15.50
Cameron Tringale,63,9.77,"2,198.77",225,5.61,14.85
Corey Conners,74,9.77,"2,002.87",205,5.29,14.17
Dylan Frittelli,82,9.75,"2,311.19",237,4.51,14.51
Shane Lowry,44,9.70,"2,937.67",303,-2.02,16.80
Alex Noren,60,9.67,"3,548.57",367,1.10,17.50
Marc Leishman,61,9.65,"1,419.00",147,3.96,16.02
Chase Seiffert,56,9.65,"2,258.56",234,4.78,14.13
Tony Finau,72,9.64,"2,100.51",218,4.14,14.75
K.H. Lee,76,9.62,"2,058.61",214,6.04,13.98
Matthew NeSmith,72,9.61,"1,634.44",170,1.81,12.98
Sergio Garcia,44,9.59,"1,064.14",111,2.18,15.24
"Ted Potter, Jr.",46,9.58,"1,322.10",138,4.45,15.61
Hank Lebioda,57,9.51,"1,349.81",142,4.93,13.37
Kris Ventura,48,9.41,"1,299.07",138,3.60,13.48
Ian Poulter,48,9.40,"1,504.50",160,6.04,13.81
Doc Redman,82,9.40,"2,387.64",254,6.22,14.17
Si Woo Kim,78,9.40,"2,256.71",240,.04,15.76
Sebastian Cappelen,55,9.39,"1,239.19",132,1.92,14.93
Adam Scott,38,9.36,"1,114.05",119,4.53,12.85
Sungjae Im,94,9.33,"6,114.17",655,4.05,15.67
Emiliano Grillo,69,9.28,"1,550.14",167,1.83,14.24
Sebastián Muñoz,84,9.27,"3,494.38",377,4.33,13.66
Matt Fitzpatrick,54,9.24,"3,851.25",417,-3.82,19.18
Gary Woodland,62,9.23,"1,412.72",153,3.94,13.36
Jim Herman,60,9.22,"2,609.42",283,1.21,14.75
Ryan Moore,48,9.22,"1,318.13",143,3.25,14.05
Carlos Ortiz,72,9.13,"4,062.46",445,-10.67,14.98
Luke List,69,9.08,"1,779.43",196,2.67,13.69
Xander Schauffele,70,9.08,"2,107.49",232,4.48,14.05
