PLAYER,LONGEST_DRIVES_ROUNDS,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
Luke Donald,34,342,Rocket Mortgage,1,17,876
Kazuki Higa,2,341,Sony Open,1,5,006
Vaughn Taylor,61,341,the Memorial,1,17,023
D.A. Points,13,341,Pebble Beach,3,9,005
Marty Jertson,4,341,Phoenix Open,1,15,510
Ben Martin,38,340,Wyndham,1,18,752
Jared Sawada,2,340,Sony Open,1,5,006
Henry Chung,4,340,Safeway Open,1,1,552
Chip McDaniel,6,340,Bermuda,3,12,765
Jim Furyk,39,340,Workday,2,17,893
Robert Allenby,8,340,Bermuda,2,2,765
Chan Kim,10,339,PGA Champ,1,4,895
Hayden Buckley,4,339,Honda Classic,2,3,734
Steve Stricker,32,339,the Memorial,1,2,023
K.J. Choi,25,339,Pebble Beach,2,9,005
Satoshi Kodaira,31,338,Pebble Beach,2,9,005
Rico Hoey,2,338,Sony Open,2,18,006
Patrick Flavin,2,338,Phoenix Open,2,2,510
Jake Kneen,2,338,3M Open,2,12,883
Johnson Wagner,27,338,Pebble Beach,1,10,769
Eric Axley,4,338,Bermuda,1,12,765
Cole Miller,2,337,The RSM Classic,2,4,889
Carl Yuan,6,337,WGC-HSBC Champ,1,14,766
Vijay Singh,18,337,Sony Open,1,16,006
J.J. Henry,23,337,Bermuda,1,12,765
Zecheng Dou,4,336,WGC-HSBC Champ,3,18,766
Kevin Yu,2,336,Arnold Palmer,1,18,009
Sebastian Soderberg,4,336,WGC-FedEx,1,9,513
Braden Thornberry,2,336,Sanderson Farms,1,5,746
Chandler Phillips,10,336,Houston Open,3,2,729
Daniel Wetterich,2,336,Honda Classic,2,9,734
Ben Crane,17,336,The Greenbrier,2,6,771
Kevin Stadler,22,336,Pebble Beach,1,10,769
Camilo Villegas,2,336,Honda Classic,2,12,734
Sean Yu,2,335,Genesis,1,1,500
Byron Meth,2,334,Safeway Open,1,3,552
Davis Riley,8,334,Sanderson Farms,3,9,746
Braden Bailey,4,334,Houston Open,1,8,729
Donnie Trosper,4,334,Rocket Mortgage,2,10,876
Sean O'Hair,6,334,Pebble Beach,2,10,769
Kiradech Aphibarnrat,19,333,Phoenix Open,2,5,510
Paul Waring,4,333,WGC-HSBC Champ,3,18,766
Andrew Putnam,46,333,Workday,1,13,893
Bobby Bai,4,333,WGC-HSBC Champ,4,14,766
Ricky Barnes,34,333,Rocket Mortgage,1,14,876
David Hearn,55,333,Pebble Beach,3,9,005
Michael Sims,2,333,Bermuda,2,2,765
Brett Quigley,2,333,Bermuda,1,12,765
Mikumu Horikawa,12,332,Sony Open,1,8,006
Chad Campbell,21,332,Bermuda,1,12,765
Steve Allan,2,331,The Greenbrier,2,16,771
Jason Bohn,6,331,Bermuda,1,12,765
Billy Hurley III,4,330,Sanderson Farms,2,17,746
Franklin Corpening,2,330,Charles Schwab,1,12,021
Shawn Warren,2,330,PGA Champ,2,6,895
Andy Zhang,4,330,Houston Open,4,18,729
Logan McCracken,2,330,Houston Open,1,13,729
Tyler Ota,2,330,Sony Open,1,8,006
Whee Kim,6,329,The Greenbrier,1,6,771
Cole Hammer,4,329,Houston Open,1,6,729
Garrett Osborn,4,328,Sanderson Farms,1,16,746
Michael Hopper,2,328,Shriners,2,4,538
Andrew McCain,2,328,Honda Classic,1,12,734
Rich Beem,8,328,Houston Open,2,15,729
Frank Lickliter II,2,328,Bermuda,2,2,765
Ryuko Tokimatsu,2,327,Sony Open,2,16,006
Alvaro Ortiz,4,327,Mayakoba,2,13,733
Justin Bertsch,6,327,PGA Champ,1,18,895
Spencer Ralston,2,327,RBC Heritage,1,3,012
Ted Purdy,10,327,Bermuda,1,12,765
Brendon de Jonge,14,327,Sanderson Farms,2,18,746
Rod Perry,6,327,Arnold Palmer,3,16,009
Ryan Blaum,10,327,The Greenbrier,1,6,771
Joost Luiten,8,326,WGC-HSBC Champ,3,18,766
Andrea Pavan,6,326,WGC-HSBC Champ,3,18,766
Justin Suh,13,326,Sanderson Farms,1,5,746
Tom Lehman,4,326,3M Open,2,12,883
Ollie Schniederjans,2,325,Bermuda,1,12,765
George Cunningham,2,325,Houston Open,1,6,729
Greg Sonnier,2,325,Sanderson Farms,2,17,746
Richard Sterne,4,325,WGC-HSBC Champ,3,18,766
"Rich Berberian, Jr.",2,324,PGA Champ,1,18,895
Fred Couples,2,324,Safeway Open,1,5,552
"David Berganio, Jr.",4,324,Wyndham,1,2,752
Joohyung Kim,2,323,PGA Champ,1,18,895
Jerry Kelly,8,323,Workday,3,18,893
Dawie van der Walt,2,323,Houston Open,2,15,729
Jake McLeod,4,322,WGC-HSBC Champ,2,18,766
Eric Dugas,2,321,Sony Open,1,8,006
Scott McCarron,2,321,Charles Schwab,1,14,021
Andres Romero,2,321,Puerto Rico,2,2,742
Kyongjun Moon,6,320,Genesis,2,3,500
Aaron Crawford,2,320,3M Open,1,1,883
Daniel Summerhays,2,320,The Greenbrier,1,6,771
Mike Weir,2,320,Bermuda,1,12,765
Bob Sowards,2,320,PGA Champ,1,4,895
Ben Cook,2,319,PGA Champ,1,4,895
Harry Hall,2,319,Farmers,1,9,004
Toru Nakajima,2,319,Sony Open,2,1,006
Jason Caron,2,319,PGA Champ,1,4,895
Daniel Balin,2,318,PGA Champ,2,10,895
Joe Boros,2,318,The Greenbrier,2,17,771
Matt Atkins,2,318,The RSM Classic,2,10,776
Henrik Stenson,14,317,Arnold Palmer,2,16,009
Michael Perras,2,316,Houston Open,2,2,729
Eugenio Lopez-Chacarra,2,316,Mayakoba,1,13,733
Carlos Franco,6,316,Bermuda,1,12,765
WC Liang,4,316,WGC-HSBC Champ,1,18,766
Julián Etulain,4,315,Puerto Rico,3,2,742
John O'Leary,2,315,PGA Champ,2,14,895
Stephan Jaeger,2,315,Sanderson Farms,1,16,746
David Muttitt,2,315,PGA Champ,2,18,895
Mike Auterson,2,315,PGA Champ,2,18,895
Ryan Vermeer,2,315,PGA Champ,2,14,895
Mark Wilson,5,314,Bermuda,2,2,765
Heath Slocum,2,314,Bermuda,2,2,765
Kyle Reifers,4,313,The RSM Classic,3,11,776
Jimmy Stanger,2,313,Mayakoba,2,13,733
Jacob Bergeron,2,313,Farmers,1,18,104
Will MacKenzie,2,313,Bermuda,1,2,765
Stuart Smith,2,313,Safeway Open,2,3,552
Martin Kaymer,4,313,PGA Champ,1,4,895
Brinson Paolini,4,312,Wyndham,1,5,752
Justin Doeden,2,312,Puerto Rico,1,2,742
Jonathan Kaye,4,312,Bermuda,1,2,765
Neil Schietekat,4,311,WGC-HSBC Champ,2,18,766
Masahiro Kawamura,4,311,WGC-HSBC Champ,3,18,766
Andrew Loupe,2,311,Puerto Rico,2,2,742
Sebastián Vázquez,2,311,Mayakoba,2,13,733
Gary Nicklaus,2,311,Bermuda,1,2,765
Ken Tanigawa,2,311,PGA Champ,1,4,895
Rob Labritz,2,311,PGA Champ,1,4,895
Alex Knoll,2,310,PGA Champ,2,18,895
Dru Love,2,310,The RSM Classic,1,5,776
"Efren Serna, Jr.",2,309,Mayakoba,2,13,733
Scott de Borba,3,309,Pebble Beach,1,3,005
Colt Knost,6,308,Safeway Open,1,1,552
Yosuke Asaji,8,308,WGC-HSBC Champ,4,14,766
Daniel Nisbet,4,308,WGC-HSBC Champ,4,14,766
Domenico Geminiani,2,308,Puerto Rico,2,2,742
Romain Langasque,4,308,WGC-HSBC Champ,4,14,766
Spike McRoy,2,308,Bermuda,2,2,765
Calum Hill,4,307,Mayakoba,2,13,733
Eddie Olson,2,305,Farmers,2,13,004
Adam Svensson,2,305,Sanderson Farms,1,17,746
Yi Keun Chang,8,305,WGC-HSBC Champ,3,18,766
Chris Couch,4,305,Puerto Rico,3,2,742
Jeff Hart,2,305,PGA Champ,1,14,895
Cameron Beckman,2,305,Bermuda,1,2,765
Zach Johnson,2,304,PGA Champ,2,18,895
Jbe' Kruger,4,303,WGC-HSBC Champ,4,14,766
Chris Nido,2,303,Puerto Rico,2,2,742
Bernhard Langer,6,303,Charles Schwab,2,12,021
Keith Clearwater,2,303,Charles Schwab,1,12,021
Brian Davis,8,302,Bermuda,1,2,765
Bryce Easton,4,301,WGC-HSBC Champ,1,14,766
Parker Gillam,2,301,Puerto Rico,2,2,742
Ben Silverman,2,300,Mayakoba,2,13,733
Greyson Sigg,2,300,The RSM Classic,2,11,776
Guy Boros,2,300,Bermuda,1,12,765
Judd Gibb,2,300,PGA Champ,2,14,895
Jay McLuen,4,298,Puerto Rico,2,2,742
Shaun Micheel,4,298,PGA Champ,2,4,895
Paul Stankowski,2,298,Bermuda,1,2,765
Brian Smock,3,298,The Amex,1,15,704
José de Jesús Rodríguez,2,297,Mayakoba,1,13,733
KK Limbhasut,2,297,Farmers,2,9,004
Michael Block,2,297,Farmers,1,18,104
Ashun Wu,4,294,WGC-HSBC Champ,2,18,766
Omar Uresti,8,293,Houston Open,1,17,729
Robert Gamez,2,293,Arnold Palmer,1,18,009
Bryson Nimmer,2,292,Puerto Rico,1,2,742
Olin Browne,2,287,Charles Schwab,1,5,021
David Frost,2,287,Charles Schwab,1,3,021
Tim Weinhart,2,283,The RSM Classic,1,9,776
Matthew Millar,4,281,WGC-HSBC Champ,1,14,766
Derek Gillespie,2,281,Puerto Rico,1,5,742
Glen Day,2,280,RBC Heritage,1,18,012
Edward Figueroa,2,275,Puerto Rico,2,2,742
David Duval,1,275,Pebble Beach,1,10,005
Jeff Roth,2,275,PGA Champ,2,4,895
Fred Funk,2,253,Bermuda,2,2,765
Dwayne Pearman,2,243,Bermuda,2,12,765
