PLAYER,CARRY_DISTANCE_ROUNDS,CARRY_DISTANCE_AVG,TOTAL DIST. TO IMPACT,CARRY_DISTANCE_TOTAL ATTEMPTS,LONGEST CARRY DISTANCE,SHORTEST CARRY DISTANCE
Chris Stroud,48,271.5,"83,899.6",309,305.7,229.9
Nate Lashley,52,271.4,"81,426.6",300,302.7,235.4
Ben Martin,38,271.4,"32,024.2",118,306.9,226.2
Russell Henley,67,271.4,"60,241.1",222,307.1,232.0
Kevin Na,71,271.3,"99,563.5",367,321.0,50.8
Brandt Snedeker,53,271.0,"111,911.6",413,316.7,50.7
Matt Kuchar,56,271.0,"112,743.1",416,320.5,215.6
Zach Johnson,61,270.9,"98,893.8",365,315.6,225.0
Cameron Percy,49,270.6,"58,171.9",215,299.4,232.7
Rory Sabbatini,66,270.1,"124,537.3",461,328.1,223.8
C.T. Pan,56,269.6,"108,092.7",401,312.3,35.3
Brian Gay,67,269.5,"57,143.1",212,310.9,213.0
Tyler Duncan,83,269.0,"138,000.5",513,313.6,227.3
Aaron Baddeley,49,268.8,"44,085.4",164,298.1,239.4
Graeme McDowell,48,268.2,"70,260.5",262,325.1,56.0
Fabián Gómez,59,268.2,"36,482.0",136,291.3,223.7
Mark Hubbard,86,268.2,"126,840.1",473,"1,301.5",4.2
Jim Herman,60,267.7,"75,746.7",283,301.2,184.8
Chez Reavie,77,267.7,"123,137.3",460,665.4,207.5
Arjun Atwal,35,266.4,"22,642.4",85,299.7,210.8
Jason Dufner,62,265.9,"123,895.0",466,316.8,221.3
Kyle Stanley,57,265.6,"44,095.1",166,309.4,209.2
Vaughn Taylor,61,265.5,"78,841.8",297,296.9,216.5
Tim Wilkinson,50,264.5,"63,755.8",241,302.0,31.6
Zac Blair,70,262.7,"107,697.7",410,296.3,220.7
David Hearn,55,262.3,"35,666.7",136,286.8,227.9
Ian Poulter,48,261.8,"41,887.8",160,294.4,19.5
Andrew Putnam,46,261.5,"27,984.6",107,287.0,226.5
Brendon Todd,86,260.6,"126,381.2",485,302.5,9.4
Rob Oppenheim,65,260.4,"43,492.3",167,295.0,18.8
Ryan Moore,48,259.6,"37,118.0",143,290.0,20.1
Brian Stuard,83,258.4,"128,663.3",498,302.9,206.7
Ryan Armour,60,256.6,"96,723.6",377,288.9,209.2
Jim Furyk,39,253.8,"70,311.0",277,285.9,34.6
