PLAYER,SMASH_FACTOR_ROUNDS,SMASH_FACTOR_AVG,TOTAL SMASH FACTOR,SMASH_FACTOR_TOTAL ATTEMPTS,HIGHEST VALUE,LOWEST VALUE
Bill Haas,46,1.486,166.389,112,1.518,1.429
Graeme McDowell,48,1.486,166.410,112,1.517,1.415
Gary Woodland,62,1.486,221.440,149,1.525,1.402
Jim Herman,60,1.486,260.010,175,1.517,1.335
Martin Trainer,48,1.486,173.855,117,1.519,1.390
Grayson Murray,36,1.486,154.569,104,1.523,1.450
Rob Oppenheim,65,1.485,240.533,162,1.520,1.396
Kevin Kisner,73,1.485,310.275,209,1.527,1.398
Mark Hubbard,86,1.485,427.574,288,1.520,1.401
Kris Ventura,48,1.484,132.047,89,1.516,1.428
Stewart Cink,51,1.483,262.407,177,1.520,1.415
Doc Redman,82,1.483,369.161,249,1.525,1.411
Zac Blair,70,1.482,250.441,169,1.519,1.435
Bubba Watson,66,1.482,216.354,146,1.529,1.404
Brendon Todd,86,1.482,422.459,285,1.520,1.424
Patrick Reed,74,1.481,351.074,237,1.528,1.383
Jason Day,53,1.481,204.309,138,1.520,1.396
Talor Gooch,83,1.481,319.958,216,1.526,1.400
Adam Schenk,78,1.480,275.277,186,1.511,1.419
Collin Morikawa,80,1.480,361.232,244,1.518,1.399
Tony Finau,72,1.480,316.709,214,1.529,1.404
Alex Noren,60,1.479,223.313,151,1.525,1.407
Brendan Steele,68,1.477,261.382,177,1.519,1.395
Ryan Brehm,52,1.475,163.758,111,1.520,1.416
Sergio Garcia,44,1.472,154.514,105,1.517,1.389
Harry Higgs,83,1.471,389.903,265,1.519,1.371
Sebastián Muñoz,84,1.471,385.317,262,1.521,1.416
Sam Ryder,74,1.468,290.634,198,1.520,1.389
Kevin Na,71,1.467,334.540,228,1.536,1.275
Xinjun Zhang,77,1.466,319.667,218,1.520,1.393
Bryson DeChambeau,62,1.465,275.455,188,1.518,1.381
Cameron Tringale,63,1.464,320.576,219,1.518,1.391
Luke List,69,1.462,280.648,192,1.518,1.394
Pat Perez,59,1.453,194.723,134,1.507,1.354
Andrew Putnam,46,1.447,147.561,102,1.513,1.365
Michael Gligic,52,1.445,189.311,131,1.507,1.383
