RK,PLAYER,AGE,EVENTS,ROUNDS,CUTS MADE,TOP 10,WINS,CUP POINTS,EARNINGS,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.,EAGLES,BIRDIES,PARS,BOGEYS,BIRDIES/RD,HOLES/EAGLE,BALL_SPEED_ROUNDS,BALL_SPEED_AVG,TOTAL BALL SPEED,BALL_SPEED_TOTAL ATTEMPTS,BALL_SPEED_FASTEST SPEED,BALL_SPEED_SLOWEST SPEED,DRIVING_DISTANCE_ROUNDS,DRIVING_DISTANCE_AVG,TOTAL DISTANCE,TOTAL DRIVES,SPIN_RATE_ROUNDS,SPIN_RATE_AVG,TOTAL SPIN SPEED,SPIN_RATE_TOTAL ATTEMPTS,HIGHEST SPIN RATE,LOWEST SPIN RATE,CLUB_HEAD_SPEED_ROUNDS,CLUB_HEAD_SPEED_AVG,TOTAL CLUB HEAD SPEED,CLUB_HEAD_SPEED_TOTAL ATTEMPTS,CLUB_HEAD_SPEED_FASTEST SPEED,CLUB_HEAD_SPEED_SLOWEST SPEED,CARRY_DISTANCE_ROUNDS,CARRY_DISTANCE_AVG,TOTAL DIST. TO IMPACT,CARRY_DISTANCE_TOTAL ATTEMPTS,LONGEST CARRY DISTANCE,SHORTEST CARRY DISTANCE,LAUNCH_ANGLE_ROUNDS,LAUNCH_ANGLE_AVG,TOTAL VERT. LAUNCH ANGLE,LAUNCH_ANGLE_TOTAL ATTEMPTS,LOWEST LAUNCH ANGLE,STEEPEST LAUNCH ANGLE,PUTTING FROM INSIDE INSIDE 5'_ROUNDS,PUTTING FROM INSIDE INSIDE 5'_%,PUTTING FROM INSIDE INSIDE 5'_ATTEMPTS,PUTTING FROM INSIDE INSIDE 5'_PUTTS_MADE,PUTTING FROM 5-10'_ROUNDS,PUTTING FROM 5-10'_%,PUTTING FROM 5-10'_ATTEMPTS,PUTTING FROM 5-10'_PUTTS_MADE,PUTTING FROM - 10-15'_ROUNDS,PUTTING FROM - 10-15'_% MADE,PUTTING FROM - 10-15'_ATTEMPTS,PUTTING FROM - 10-15'_PUTTS_MADE,PUTTING FROM - 15-20'_ROUNDS,PUTTING FROM - 15-20'_% MADE,PUTTING FROM - 15-20'_ATTEMPTS,PUTTING FROM - 15-20'_PUTTS_MADE,PUTTING FROM - 20-25'_ROUNDS,PUTTING FROM - 20-25'_% MADE,PUTTING FROM - 20-25'_ATTEMPTS,PUTTING FROM - 20-25'_PUTTS_MADE
102,Keith Mitchell,29,21,64,11,1,0,342,886979.0,301.9,58.3,51,65.0,1.774,48.0,6,242,681,191,3.781,192,64,178.32,28710.23,161,183.94,170.37,64,301.9,33812,112,64,2554.0,370328,145,3415,1530,64,119.65,18664.63,156,123.49,490752111,64,291.0,46851.5,161,326.5,207.4,64,10.41,1676.70,161,5.34,15.67,64,96.25,693,667,64,57.92,221,128,64,38.24,136,52,64,19.09,110,21,64,13.64,66,9
103,Cam Davis,26,20,58,11,2,0,443,857225.0,308.0,58.8,20,69.3,1.779,57.0,11,240,628,145,4.138,95,62,178.24,26914.98,151,182.15,172.36,62,308.0,35723,116,62,2674.6,366422,137,3478,1531,62,118.35,16332.53,138,123.70,160704411,62,298.2,45026.5,151,337.0,265.2,62,10.81,1631.75,151,5.84,15.00,62,95.37,648,618,62,56.65,203,115,62,31.30,115,36,62,23.46,81,19,62,13.64,66,9
104,Ryan Armour,45,21,58,8,3,0,366,850571.0,284.1,73.9,182,67.9,1.756,39.0,5,227,638,165,3.914,209,60,159.93,60295.16,377,166.20,153.86,60,284.1,32959,116,60,2463.6,812990,330,3918,1593,60,106.10,17825.54,168,109.27,405012305,60,256.6,96723.6,377,288.9,209.2,60,9.82,3701.17,377,3.28,14.95,60,95.90,658,631,60,48.45,194,94,60,27.13,129,35,60,17.65,85,15,60,12.20,82,10
105,Emiliano Grillo,28,23,65,12,3,0,405,849538.0,295.7,66.1,113,71.5,1.803,46.7,8,245,726,175,3.769,146,69,171.03,28561.19,167,175.73,164.15,69,295.7,33713,114,69,2681.0,434326,162,3536,1521,69,113.79,18433.28,162,117.61,230734210,69,281.2,46963.9,167,309.7,244.3,69,9.28,1550.14,167,1.83,14.24,69,95.36,733,699,69,46.28,188,87,69,29.14,151,44,69,14.94,87,13,69,10.26,78,8
106,Keegan Bradley,35,0,68,14,0,0,379,824471.0,301.0,59.7,64,66.4,1.793,51.3,7,236,767,205,3.471,175,68,171.74,31084.23,181,177.22,163.97,68,301.0,36125,120,68,2312.3,369960,160,3954,1577,68,114.40,20133.75,176,117.76,180510313,68,290.4,52561.3,181,324.6,250.9,68,12.62,2283.85,181,9.00,16.12,68,95.12,841,800,68,52.36,254,133,68,25.00,136,34,68,18.64,118,22,68,11.49,87,10
107,Wyndham Clark,27,23,61,10,1,0,346,814737.0,305.1,52.2,32,62.6,1.739,53.4,9,232,657,170,3.803,122,65,180.38,29221.62,162,184.66,169.91,65,305.1,32336,106,65,2462.5,359528,146,3963,1527,65,119.93,18708.74,156,124.75,200500211,65,294.8,47764.8,162,330.0,215.4,65,11.31,1831.63,162,6.96,15.44,65,97.78,632,618,65,59.42,207,123,65,34.71,121,42,65,21.92,73,16,65,10.34,58,6
108,Scott Piercy,42,19,66,14,1,0,361,809871.0,297.2,62.7,100,64.7,1.770,36.2,7,225,758,177,3.409,170,66,167.87,66642.75,397,175.02,148.50,66,297.2,34473,116,66,2436.8,852895,350,3953,1561,66,111.58,17295.48,155,121.47,040538102,66,274.8,108820.8,396,318.7,213.4,66,11.44,4540.63,397,5.63,16.76,66,97.38,725,706,66,52.94,204,108,66,31.34,134,42,66,15.05,93,14,66,10.26,78,8
109,Matt Wallace,31,13,44,9,1,0,244,800993.0,301.7,53.1,53,63.6,1.760,59.3,3,161,489,117,3.659,264,44,172.83,60664.48,351,180.69,160.80,44,301.7,24138,80,44,2618.2,856153,327,3902,1556,44,115.20,16243.21,141,123.98,405012405,44,289.7,101701.0,351,346.9,32.0,44,11.78,4135.30,351,5.58,20.00,44,97.37,570,555,44,57.23,159,91,44,28.18,110,31,44,21.95,82,18,44,14.29,70,10
110,Matthew NeSmith,27,23,68,13,1,0,372,783232.0,295.0,64.1,118,70.2,1.765,49.5,8,253,791,152,3.721,153,72,170.87,29048.48,170,177.68,162.75,72,295.0,40117,136,72,2491.1,371172,149,3698,1555,72,114.26,18738.97,164,119.81,490752118,72,281.9,47915.4,170,325.7,231.3,72,9.61,1634.44,170,1.81,12.98,72,97.52,765,746,72,56.41,234,132,72,28.99,138,40,72,15.83,120,19,72,10.59,85,9
111,K.H. Lee,29,25,72,13,1,0,382,781808.0,296.4,65.0,105,65.2,1.766,53.3,1,269,825,175,3.736,1296,76,169.41,36254.15,214,173.76,163.08,76,296.4,40312,136,76,2500.2,512549,205,3828,1594,76,112.74,23449.62,208,118.92,160704109,76,278.2,59524.4,214,307.7,230.0,76,9.62,2058.61,214,6.04,13.98,76,96.78,776,751,76,58.33,240,140,76,26.19,126,33,76,15.22,92,14,76,12.35,81,10
112,Shane Lowry,34,13,44,9,1,0,283,781326.0,299.4,60.9,76,69.4,1.796,61.5,3,161,508,104,3.659,264,44,172.74,52341.45,303,179.60,161.70,44,299.4,21556,72,44,2317.0,586195,253,3981,1518,44,114.76,14459.52,126,129.68,490752415,44,282.9,85723.6,303,334.6,49.5,44,9.70,2937.67,303,-2.02,16.80,44,95.41,523,499,44,57.82,147,85,44,35.00,100,35,44,19.05,63,12,44,6.78,59,4
113,Zach Johnson,45,18,61,12,1,0,358,777727.0,285.9,62.8,175,68.0,1.751,50.6,1,230,717,125,3.770,1098,61,163.94,59838.95,365,169.53,155.55,61,285.9,34882,122,61,2467.2,836368,339,3613,1507,61,109.89,18790.88,171,112.36,500700109,61,270.9,98893.8,365,315.6,225.0,61,11.90,4344.06,365,7.11,15.38,61,97.49,756,737,61,60.19,211,127,61,37.42,155,58,61,14.14,99,14,61,11.39,79,9
114,Sam Burns,24,19,58,11,1,0,345,757500.0,312.0,54.8,8,67.0,1.755,32.1,9,226,646,144,3.897,116,60,178.95,74800.76,418,186.48,162.00,60,312.0,36197,116,60,2604.9,1023735,393,3858,1640,60,118.67,22428.07,189,122.76,230734318,60,294.0,122887.0,418,335.1,61.6,60,8.85,3701.07,418,-.95,13.02,60,97.26,766,745,60,60.66,244,148,60,31.91,141,45,60,16.36,110,18,60,10.53,76,8
115,Graeme McDowell,41,16,48,9,1,0,305,751082.0,283.9,62.0,183,63.3,1.768,36.5,3,164,533,139,3.417,288,48,163.57,42855.85,262,172.21,154.97,48,283.9,24416,86,48,2597.0,573941,221,3600,1517,48,110.39,12363.71,112,114.44,240009104,48,268.2,70260.5,262,325.1,56.0,48,9.07,2377.05,262,.56,15.34,48,96.19,525,505,48,55.81,172,96,48,23.47,98,23,48,20.63,63,13,48,20.75,53,11
116,Zac Blair,30,23,66,12,1,0,324,745273.0,280.9,62.6,191,63.5,1.768,50.8,1,240,744,177,3.636,1188,70,160.06,65623.01,410,168.39,153.59,70,280.9,37077,132,70,2499.7,964893,386,3336,1560,70,108.00,18251.47,169,112.72,395021411,70,262.7,107697.7,410,296.3,220.7,70,11.35,4652.73,410,6.07,15.34,70,95.72,724,693,70,59.41,202,120,70,27.07,133,36,70,17.53,97,17,70,10.45,67,7
117,Luke List,36,22,69,12,1,0,297,731507.0,307.8,57.5,21,69.5,1.803,53.8,13,252,782,170,3.652,96,69,180.79,35435.25,196,187.38,174.64,69,307.8,40008,130,69,2655.2,483240,182,3895,1733,69,123.68,23746.55,192,128.82,415876107,69,295.7,57953.8,196,325.1,243.7,69,9.08,1779.43,196,2.67,13.69,69,94.75,876,830,69,51.45,241,124,69,30.23,172,52,69,14.56,103,15,69,14.94,87,13
118,Lucas Glover,41,21,67,12,1,0,303,728355.0,301.6,64.6,55,68.7,1.780,49.2,4,263,740,175,3.925,302,67,171.04,61401.85,359,184.03,158.11,67,301.6,33181,110,67,2290.8,719301,314,3771,1592,67,113.49,18385.78,162,119.00,470883212,67,273.5,98182.6,359,338.9,63.9,67,8.77,3149.75,359,4.41,15.37,67,95.79,736,705,67,58.21,201,117,67,24.32,148,36,67,15.45,110,17,67,9.09,66,6
119,Brian Gay,49,23,63,10,2,0,323,702647.0,288.5,58.7,164,64.8,1.722,38.5,5,245,691,163,3.889,227,67,162.43,34435.78,212,167.09,155.65,67,288.5,36351,126,67,2311.8,448494,194,3371,1546,67,109.21,22606.17,207,115.63,405012218,67,269.5,57143.1,212,310.9,213.0,67,11.77,2496.27,212,7.69,15.60,67,97.17,706,686,67,53.64,220,118,67,29.79,141,42,67,22.34,94,21,67,16.00,75,12
120,Sam Ryder,31,25,70,12,2,0,349,690246.0,297.7,61.2,91,66.3,1.770,42.4,4,275,785,173,3.929,315,74,172.19,34954.57,203,178.11,161.27,74,297.7,41682,140,74,2788.2,493505,177,3750,1531,74,117.34,23233.55,198,121.56,180510213,74,281.7,57183.5,203,312.3,34.6,74,8.65,1755.15,203,4.72,13.81,74,97.34,789,768,74,59.83,229,137,74,23.13,147,34,74,22.76,123,28,74,11.63,86,10
121,Adam Schenk,29,0,74,15,0,0,349,678928.0,302.0,62.3,47,69.1,1.778,49.1,8,283,857,170,3.824,167,78,177.69,33760.68,190,183.38,168.06,78,302.0,39860,132,78,2871.4,493884,172,3924,1514,78,120.09,22337.21,186,124.65,040538216,78,284.4,54037.8,190,319.1,239.4,78,7.05,1338.97,190,2.06,11.59,78,97.80,773,756,78,58.37,221,129,78,32.73,165,54,78,20.39,103,21,78,10.59,85,9
123,Scott Stallings,36,20,67,15,2,0,296,664849.0,297.6,57.3,93,69.7,1.743,48.3,13,260,762,153,3.881,93,71,171.18,26362.04,154,177.28,164.59,71,297.6,39873,134,71,2411.2,330329,137,3446,1544,71,114.33,16806.98,147,119.88,470883412,71,276.8,42633.9,154,317.9,227.5,71,8.92,1373.40,154,.48,15.19,71,97.70,740,723,71,55.95,252,141,71,28.79,132,38,71,13.73,102,14,71,10.84,83,9
124,Sergio Garcia,41,12,44,10,1,0,241,658935.0,305.8,60.6,27,68.3,1.793,55.1,2,169,495,113,3.841,396,44,175.70,19503.18,111,180.02,168.84,44,305.8,19573,64,44,2817.9,276151,98,3548,1556,44,119.39,12535.81,105,123.91,405012402,44,287.7,31940.0,111,348.0,52.1,44,9.59,1064.14,111,2.18,15.24,44,95.00,480,456,44,52.94,136,72,44,30.00,80,24,44,17.24,58,10,44,2.27,44,1
125,Beau Hossler,26,22,67,13,1,0,308,658088.0,306.6,53.9,26,65.2,1.757,51.8,6,239,768,170,3.567,201,71,172.23,63552.06,369,177.03,158.47,71,306.6,41091,134,71,2285.7,767989,336,3509,1514,71,114.93,23446.19,204,134.08,110776215,71,290.3,106831.9,368,327.8,247.5,71,11.50,4243.19,369,6.43,16.64,71,96.55,696,672,71,59.04,188,111,71,34.11,129,44,71,21.43,98,21,71,14.06,64,9
126,Rafa Cabrera Bello,37,0,53,10,0,0,258,646577.0,293.7,62.6,135,63.8,1.759,37.9,3,193,591,144,3.642,318,53,165.57,58114.80,351,173.14,158.75,53,293.7,24081,82,53,2440.0,802753,329,3242,1580,53,109.94,17150.67,156,114.34,470883318,53,272.2,95533.6,351,312.2,68.4,53,10.22,3586.66,351,5.11,14.03,53,96.79,561,543,53,55.97,159,89,53,30.30,99,30,53,21.52,79,17,53,16.18,68,11
127,Rory Sabbatini,45,0,66,13,0,0,291,629885.0,283.9,60.8,184,65.2,1.778,59.8,7,242,742,177,3.667,170,66,164.23,75710.66,461,180.00,157.76,66,283.9,32930,116,66,2531.9,1038070,410,3934,1560,66,109.75,20852.09,190,114.27,230734103,66,270.1,124537.3,461,328.1,223.8,66,11.04,5090.01,461,4.65,16.46,66,95.40,718,685,66,60.00,205,123,66,34.15,123,42,66,19.57,92,18,66,10.26,78,8
128,Brice Garnett,37,0,58,9,0,0,294,626179.0,290.6,64.4,148,69.9,1.760,48.3,5,211,693,124,3.638,209,58,166.30,26441.58,159,171.33,159.55,58,290.6,33704,116,58,2488.6,358365,144,3393,1745,58,110.40,16891.64,153,115.01,230734206,58,272.9,43398.3,159,297.9,236.3,58,11.58,1841.81,159,7.26,16.46,58,98.15,647,635,58,53.37,178,95,58,29.09,110,32,58,19.59,97,19,58,10.14,69,7
130,Danny Willett,33,13,40,7,1,0,202,621028.0,301.2,55.4,61,62.5,1.769,56.8,1,145,429,127,3.625,720,40,170.28,20093.27,118,175.09,164.16,40,301.2,19277,64,40,2362.3,266936,113,3190,1538,40,112.84,11396.44,101,116.81,483513203,40,286.7,33828.0,118,337.4,253.2,40,12.53,1478.28,118,7.43,15.90,40,97.79,453,443,40,55.64,133,74,40,34.02,97,33,40,13.46,52,7,40,10.26,39,4
131,Bronson Burgoon,34,19,53,9,1,0,255,589539.0,294.6,59.6,124,66.9,1.727,53.3,5,220,580,139,4.151,191,55,167.80,45306.12,270,179.47,158.05,55,294.6,31229,106,55,2428.7,616895,254,3871,1562,55,111.40,15930.35,143,119.22,050729415,55,281.8,76085.1,270,325.2,247.6,55,11.86,3202.99,270,6.88,15.86,55,96.90,612,593,55,64.47,197,127,55,27.27,132,36,55,20.45,88,18,55,11.11,63,7
132,Fabián Gómez,42,19,55,10,2,0,274,564722.0,289.2,65.8,160,66.7,1.759,58.2,11,195,636,130,3.545,90,59,163.39,22221.02,136,167.99,155.18,59,289.2,31816,110,59,2444.4,307989,126,3785,1569,59,108.36,14194.61,131,110.95,040538203,59,268.2,36482.0,136,291.3,223.7,59,10.80,1469.34,136,6.58,15.11,59,95.83,552,529,59,55.76,165,92,59,32.00,100,32,59,20.83,72,15,59,16.39,61,10
133,Peter Malnati,34,0,57,10,0,0,238,561273.0,287.6,54.5,166,62.6,1.727,44.9,6,212,638,140,3.719,171,61,167.40,64953.07,388,173.84,154.35,61,287.6,32791,114,61,2734.1,926852,339,3955,1552,61,112.21,18963.72,169,118.97,050729304,61,276.3,107216.6,388,308.2,238.6,61,10.54,4089.31,388,5.08,15.55,61,97.41,657,640,61,59.38,192,114,61,22.86,140,32,61,30.95,84,26,61,10.45,67,7
135,Nick Watney,40,17,44,6,1,0,253,534797.0,302.3,55.4,44,70.2,1.750,45.3,4,176,488,102,4.000,198,46,177.53,23256.55,131,182.88,170.99,46,302.3,26602,88,46,2736.6,325656,119,3855,1526,46,118.05,14520.10,123,121.58,040538116,46,288.3,37770.1,131,320.6,241.4,46,7.89,1033.90,131,2.18,12.24,46,95.96,495,475,46,57.59,158,91,46,38.32,107,41,46,21.05,76,16,46,13.21,53,7
136,Jhonattan Vegas,36,17,50,9,1,0,235,527009.0,309.0,62.0,15,70.2,1.786,39.2,6,203,542,141,4.060,150,52,181.77,39079.99,215,188.27,167.03,52,309.0,28424,92,52,2623.8,495906,189,3892,1618,52,121.64,14231.48,117,126.92,230734118,52,291.5,62672.9,215,344.1,35.3,52,8.78,1886.98,215,3.97,12.79,52,96.45,535,516,52,56.17,162,91,52,28.71,101,29,52,13.70,73,10,52,10.71,56,6
137,Russell Knox,36,0,63,11,0,0,269,519028.0,296.3,62.2,106,70.1,1.800,55.4,2,229,751,137,3.635,567,67,169.87,31085.77,183,176.39,161.84,67,296.3,37339,126,67,2402.0,355496,148,3628,1548,67,113.55,20326.14,179,117.96,415876217,67,277.6,50807.6,183,309.6,241.9,67,8.84,1616.81,183,2.65,15.17,67,96.15,728,700,67,50.52,192,97,67,34.71,121,42,67,14.66,116,17,67,8.86,79,7
138,Joseph Bramlett,33,18,53,10,1,0,223,495690.0,299.3,57.4,78,70.0,1.798,48.1,6,192,590,149,3.623,159,57,171.94,17366.11,101,176.95,164.72,57,299.3,31727,106,57,2640.8,242958,92,3676,1540,57,114.12,10955.12,96,119.47,010771411,57,282.8,28565.5,101,311.5,234.1,57,10.65,1075.40,101,6.20,13.99,57,96.67,570,551,57,40.27,149,60,57,40.15,132,53,57,19.05,84,16,57,12.24,49,6
139,Stewart Cink,48,14,51,11,1,0,207,490620.0,295.7,56.4,114,68.0,1.763,47.2,2,183,589,123,3.588,459,51,171.67,31244.63,182,177.03,161.73,51,295.7,30163,102,51,2703.5,451487,167,3939,1570,51,115.81,20498.78,177,119.34,405012205,51,279.1,50800.0,182,312.1,247.8,51,8.62,1568.29,182,4.64,11.77,51,96.46,650,627,51,59.36,187,111,51,25.23,111,28,51,23.23,99,23,51,10.53,76,8
140,Kyle Stanley,33,20,53,8,1,0,246,490359.0,285.1,71.3,177,72.5,1.783,48.0,2,203,612,124,3.830,477,57,163.74,27181.12,166,169.46,155.97,57,285.1,30220,106,57,2558.9,388952,152,3976,1644,57,109.15,17573.10,161,114.97,050729413,57,265.6,44095.1,166,309.4,209.2,57,9.97,1655.72,166,4.66,14.58,57,96.98,629,610,57,52.60,173,91,57,26.19,126,33,57,19.32,88,17,57,13.58,81,11
141,Chesson Hadley,34,0,58,12,0,0,239,485193.0,296.0,66.7,108,70.2,1.741,44.8,7,250,609,150,4.310,149,62,169.90,23785.83,140,174.78,146.79,62,296.0,31969,108,62,2422.9,331942,137,3519,1535,62,112.86,15348.62,136,117.04,395021303,62,282.7,39576.3,140,320.3,225.0,62,10.82,1515.34,140,5.52,15.37,62,96.62,651,629,62,56.25,192,108,62,31.16,138,43,62,24.24,99,24,62,8.33,72,6
142,Cameron Percy,47,17,45,8,1,0,208,470679.0,295.0,59.2,117,69.6,1.782,49.1,6,160,529,102,3.556,135,49,165.91,35670.68,215,172.53,159.15,49,295.0,26553,90,49,2165.1,400537,185,3537,1510,49,109.99,11548.88,105,113.68,470883203,49,270.6,58171.9,215,299.4,232.7,49,11.96,2571.81,215,6.78,16.06,49,97.67,472,461,49,48.05,154,74,49,34.18,79,27,49,21.43,56,12,49,10.20,49,5
143,Andrew Putnam,32,16,46,7,1,0,184,459640.0,277.9,57.0,193,63.8,1.769,51.9,3,147,541,121,3.196,276,46,163.38,17481.91,107,171.52,156.08,46,277.9,18894,68,46,2701.7,251256,93,3874,1600,46,113.09,11535.38,102,117.91,040538211,46,261.5,27984.6,107,287.0,226.5,46,8.70,930.42,107,3.16,13.19,46,98.14,431,423,46,64.96,137,89,46,32.58,89,29,46,27.27,55,15,46,13.73,51,7
144,Rob Oppenheim,41,21,61,11,1,0,236,454470.0,284.2,63.0,181,65.2,1.791,52.7,9,210,700,159,3.443,122,65,163.86,27365.29,167,170.54,155.13,65,284.2,34671,122,65,2490.8,381086,153,3436,1532,65,110.42,17887.27,162,115.65,230734218,65,260.4,43492.3,167,295.0,18.8,65,8.91,1488.56,167,.46,13.83,65,95.79,642,615,65,53.50,200,107,65,25.83,120,31,65,12.75,102,13,65,15.38,65,10
145,Josh Teater,42,15,41,6,1,0,217,453508.0,294.0,68.2,127,71.5,1.761,35.3,8,161,449,104,3.927,92,43,168.05,35626.36,212,173.33,157.09,43,294.0,24109,82,43,2634.2,532106,202,3634,1582,43,111.78,11177.96,100,114.77,470883212,43,280.8,59540.2,212,322.7,245.8,43,11.34,2405.11,212,6.57,16.97,43,94.75,400,379,43,48.72,117,57,43,29.49,78,23,43,20.41,49,10,43,14.29,49,7
148,Robert Streb,34,19,50,7,1,0,207,415258.0,293.7,58.1,133,67.3,1.766,35.4,4,175,569,133,3.500,225,54,170.45,32726.04,192,174.93,161.63,54,293.7,29369,100,54,2852.8,524922,184,3679,1544,54,113.02,10058.62,89,116.14,415876212,54,275.4,52883.5,192,317.1,64.6,54,8.57,1645.78,192,3.12,13.12,54,96.54,492,475,54,43.97,116,51,54,25.81,93,24,54,18.18,66,12,54,13.46,52,7
149,Austin Cook,30,0,60,11,0,0,162,386353.0,293.8,66.7,131,68.2,1.779,42.1,4,223,677,158,3.717,270,64,166.35,63046.16,379,172.14,157.59,64,293.8,35255,120,64,2349.3,834004,355,3719,1517,64,110.78,20161.82,182,115.21,050729404,64,278.5,105565.5,379,313.5,222.4,64,12.71,4816.86,379,7.24,17.39,64,97.33,675,657,64,52.85,193,102,64,36.50,137,50,64,24.05,79,19,64,12.20,82,10
151,Ted Potter Jr.,37,19,44,4,2,0,163,361540.0,290.2,60.7,154,68.9,1.789,39.4,3,152,510,109,3.455,264,46,166.97,23041.21,138,172.62,155.08,46,290.2,25537,88,46,2494.8,284403,114,3656,1598,46,112.29,14260.30,127,115.64,180510103,46,275.1,37966.3,138,302.2,233.4,46,9.58,1322.10,138,4.45,15.61,46,96.22,502,483,46,46.63,163,76,46,25.88,85,22,46,23.33,60,14,46,11.54,52,6
152,Aaron Wise,25,18,45,6,2,0,175,355972.0,301.5,59.9,59,72.1,1.793,52.4,4,177,494,121,3.933,203,49,172.24,19462.93,113,176.47,165.94,49,301.5,27137,90,49,2221.9,235519,106,3842,1557,49,115.05,12540.35,109,119.37,230734418,49,289.1,32672.1,113,328.0,243.8,49,12.15,1372.42,113,7.32,15.02,49,95.64,505,483,49,47.10,138,65,49,27.78,90,25,49,20.31,64,13,49,9.86,71,7
153,Branden Grace,33,16,41,6,1,0,136,354443.0,297.3,55.7,99,68.4,1.778,53.1,1,148,478,103,3.610,738,43,170.73,50364.80,295,181.84,163.07,43,297.3,21999,74,43,2708.2,696010,257,3954,1543,43,114.32,13032.98,114,120.52,180510413,43,272.6,80423.4,295,346.8,60.2,43,8.18,2414.31,295,-2.73,15.32,43,95.55,494,472,43,49.63,135,67,43,29.35,92,27,43,26.79,56,15,43,13.73,51,7
154,Patton Kizzire,35,19,55,8,1,0,129,352764.0,294.8,54.0,120,64.8,1.735,45.5,6,208,605,145,3.782,165,55,170.74,25611.74,150,175.95,162.57,55,294.8,32425,110,55,2599.9,376986,145,3517,1659,55,114.04,16079.48,141,117.58,180510313,55,283.5,42525.3,150,308.8,254.8,55,11.25,1688.05,150,6.67,15.39,55,97.15,667,648,55,59.06,171,101,55,33.10,142,47,55,24.72,89,22,55,12.50,72,9
155,Seamus Power,34,11,32,7,1,0,168,351069.0,304.5,58.6,33,69.4,1.733,51.4,5,140,340,78,4.375,115,36,175.90,15830.56,90,180.95,167.18,36,304.5,19488,64,36,2323.4,202133,87,3601,1579,36,117.79,9894.44,84,121.65,050729115,36,278.9,25099.7,90,311.7,223.3,36,8.36,752.28,90,2.52,12.10,36,95.29,297,283,36,57.89,95,55,36,24.49,49,12,36,19.35,31,6,36,17.86,28,5
156,D.J. Trahan,40,17,47,7,1,0,165,345471.0,297.6,64.7,92,68.2,1.795,45.5,2,179,527,120,3.809,423,49,168.81,17387.67,103,173.46,163.38,49,297.6,27972,94,49,2095.8,190714,91,3382,1529,49,112.48,11023.16,98,117.14,050729313,49,275.8,28402.8,103,309.6,242.3,49,11.04,1136.68,103,6.83,16.43,49,96.22,502,483,49,50.44,113,57,49,27.17,92,25,49,13.16,76,10,49,12.00,50,6
158,C.T. Pan,29,0,56,9,0,0,112,329997.0,287.0,60.3,169,67.3,1.798,46.2,4,180,647,156,3.214,252,56,165.06,66188.64,401,170.58,146.84,56,287.0,27550,96,56,2439.2,873239,358,3797,1518,56,109.53,15881.78,145,114.27,485895212,56,269.6,108092.7,401,312.3,35.3,56,10.55,4229.16,401,2.94,15.09,56,96.11,642,617,56,53.67,177,95,56,22.88,118,27,56,18.81,101,19,56,5.36,56,3
159,James Hahn,39,0,36,5,0,0,129,327110.0,293.7,61.4,134,69.4,1.780,40.3,3,132,412,94,3.667,216,36,166.58,28484.99,171,173.21,157.54,36,293.7,21145,72,36,2483.8,387465,156,3793,1507,36,111.69,11950.92,107,115.10,040538209,36,281.9,48203.6,171,322.5,215.9,36,13.91,2378.09,171,9.85,16.89,36,97.42,387,377,36,53.21,109,58,36,26.51,83,22,36,17.74,62,11,36,10.71,28,3
161,Tim Wilkinson,42,0,46,9,0,0,183,307772.0,284.7,68.3,179,67.4,1.762,48.6,3,166,547,101,3.609,276,50,159.88,38531.47,241,166.00,151.69,50,284.7,26188,92,50,2306.7,500555,217,3598,1598,50,106.85,10471.54,98,110.44,160704416,50,264.5,63755.8,241,302.0,31.6,50,11.96,2882.84,241,3.37,16.77,50,96.98,464,450,50,51.22,123,63,50,30.69,101,31,50,21.31,61,13,50,7.50,40,3
162,Jason Dufner,44,0,62,12,0,0,138,306781.0,286.2,66.4,174,67.8,1.818,52.6,5,202,735,156,3.258,223,62,164.80,76798.94,466,171.85,153.50,62,286.2,35493,124,62,2547.0,1118119,439,3941,1524,62,109.54,21251.45,194,115.70,490752215,62,265.9,123895.0,466,316.8,221.3,62,10.09,4701.76,466,2.80,15.95,62,95.47,839,801,62,53.33,225,120,62,26.06,165,43,62,10.08,129,13,62,10.13,79,8
163,Peter Uihlein,31,0,43,9,0,0,136,301846.0,301.8,47.4,52,68.0,1.759,57.7,3,172,481,105,4.000,258,47,181.03,30051.12,166,191.92,168.13,47,301.8,25951,86,47,2994.6,443201,148,3974,1718,47,121.07,10169.89,84,126.95,415876112,47,289.0,47970.6,166,317.4,22.6,47,5.96,988.86,166,-1.31,11.58,47,96.15,468,450,47,55.81,129,72,47,37.97,79,30,47,21.62,74,16,47,16.33,49,8
165,David Hearn,42,19,51,8,1,0,152,287527.0,281.8,68.4,188,66.9,1.769,45.6,1,179,605,122,3.510,918,55,157.98,21485.78,136,164.10,150.93,55,281.8,28745,102,55,2322.2,297237,128,3349,1553,55,105.26,13157.54,125,108.54,230734218,55,262.3,35666.7,136,286.8,227.9,55,12.51,1700.83,136,7.69,16.03,55,97.33,525,511,55,53.85,130,70,55,31.11,90,28,55,24.69,81,20,55,11.67,60,7
