RK,PLAYER,AGE,EVENTS,ROUNDS,CUTS MADE,TOP 10,WINS,CUP POINTS,EARNINGS,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.,EAGLES,BIRDIES,PARS,BOGEYS,BIRDIES/RD,HOLES/EAGLE,BALL_SPEED_ROUNDS,BALL_SPEED_AVG,TOTAL BALL SPEED,BALL_SPEED_TOTAL ATTEMPTS,BALL_SPEED_FASTEST SPEED,BALL_SPEED_SLOWEST SPEED,DRIVING_DISTANCE_ROUNDS,DRIVING_DISTANCE_AVG,TOTAL DISTANCE,TOTAL DRIVES,SPIN_RATE_ROUNDS,SPIN_RATE_AVG,TOTAL SPIN SPEED,SPIN_RATE_TOTAL ATTEMPTS,HIGHEST SPIN RATE,LOWEST SPIN RATE,CLUB_HEAD_SPEED_ROUNDS,CLUB_HEAD_SPEED_AVG,TOTAL CLUB HEAD SPEED,CLUB_HEAD_SPEED_TOTAL ATTEMPTS,CLUB_HEAD_SPEED_FASTEST SPEED,CLUB_HEAD_SPEED_SLOWEST SPEED,CARRY_DISTANCE_ROUNDS,CARRY_DISTANCE_AVG,TOTAL DIST. TO IMPACT,CARRY_DISTANCE_TOTAL ATTEMPTS,LONGEST CARRY DISTANCE,SHORTEST CARRY DISTANCE,LAUNCH_ANGLE_ROUNDS,LAUNCH_ANGLE_AVG,TOTAL VERT. LAUNCH ANGLE,LAUNCH_ANGLE_TOTAL ATTEMPTS,LOWEST LAUNCH ANGLE,STEEPEST LAUNCH ANGLE,PUTTING FROM INSIDE INSIDE 5'_ROUNDS,PUTTING FROM INSIDE INSIDE 5'_%,PUTTING FROM INSIDE INSIDE 5'_ATTEMPTS,PUTTING FROM INSIDE INSIDE 5'_PUTTS_MADE,PUTTING FROM 5-10'_ROUNDS,PUTTING FROM 5-10'_%,PUTTING FROM 5-10'_ATTEMPTS,PUTTING FROM 5-10'_PUTTS_MADE,PUTTING FROM - 10-15'_ROUNDS,PUTTING FROM - 10-15'_% MADE,PUTTING FROM - 10-15'_ATTEMPTS,PUTTING FROM - 10-15'_PUTTS_MADE,PUTTING FROM - 15-20'_ROUNDS,PUTTING FROM - 15-20'_% MADE,PUTTING FROM - 15-20'_ATTEMPTS,PUTTING FROM - 15-20'_PUTTS_MADE,PUTTING FROM - 20-25'_ROUNDS,PUTTING FROM - 20-25'_% MADE,PUTTING FROM - 20-25'_ATTEMPTS,PUTTING FROM - 20-25'_PUTTS_MADE
21,Sebastián Muñoz,28,26,84,16,5,1,1421,2864142.0,302.3,60.4,43,66.3,1.748,50.0,8,340,943,190,4.048,189,84,175.37,66116.23,377,184.55,168.62,84,302.3,50793,168,84,2673.1,890145,333,3843,1534,84,118.97,31170.52,262,122.72,485895110,84,285.5,107637.0,377,341.3,35.9,84,9.27,3494.38,377,4.33,13.66,84,96.84,1076,1042,84,60.11,361,217,84,29.74,232,69,84,16.67,126,21,84,12.26,106,13
22,Scottie Scheffler,25,23,82,18,7,0,1391,2833438.0,308.9,61.2,16,69.0,1.737,49.0,11,357,893,194,4.354,134,82,173.63,46533.69,268,181.20,167.42,82,308.9,50667,164,82,2624.7,656164,250,3805,1715,82,116.54,30533.57,262,121.17,520688418,82,285.8,76588.2,268,335.0,47.4,82,10.96,2937.77,268,4.27,16.75,82,95.75,1011,968,82,51.61,279,144,82,33.14,172,57,82,24.14,145,35,82,13.59,103,14
23,Kevin Na,37,21,71,15,4,1,1102,2794402.0,286.9,62.7,170,63.2,1.733,55.6,4,270,819,165,3.803,320,71,166.27,61019.98,367,174.38,156.28,71,286.9,36151,126,71,2774.4,923869,333,3938,1502,71,113.41,25857.38,228,128.40,485895212,71,271.3,99563.5,367,321.0,50.8,71,9.79,3592.68,367,3.95,16.03,71,96.97,792,768,71,64.31,269,173,71,39.07,151,59,71,18.10,105,19,71,13.95,86,12
24,Ryan Palmer,44,19,68,15,5,0,1116,2724926.0,299.3,60.1,80,65.9,1.742,50.0,7,271,750,179,3.985,175,68,171.42,37712.28,220,175.74,166.14,68,299.3,35910,120,68,2464.5,468264,190,3821,1690,68,114.54,24282.77,212,120.32,230734418,68,284.7,62639.4,220,327.0,232.6,68,11.11,2444.21,220,1.46,18.04,68,96.58,848,819,68,51.66,271,140,68,30.92,152,47,68,20.00,95,19,68,10.34,87,9
25,Kevin Streelman,42,23,73,13,4,0,944,2520845.0,293.9,65.9,129,67.7,1.763,52.9,8,279,808,195,3.822,164,73,168.16,78697.16,468,173.09,143.02,73,293.9,38213,130,73,2658.5,1097951,413,3800,1515,73,112.85,25391.55,225,120.63,230734314,73,279.0,130298.6,467,321.0,228.1,73,11.18,5233.15,468,6.89,16.34,73,96.02,829,796,73,58.41,226,132,73,31.16,138,43,73,22.81,114,26,73,8.82,102,9
26,Billy Horschel,34,22,79,17,6,0,953,2383908.0,299.3,62.8,79,66.2,1.738,50.0,7,310,876,209,3.924,203,79,170.51,40751.33,239,175.15,165.12,79,299.3,40107,134,79,2493.7,558585,224,3560,1773,79,113.67,26370.67,232,117.26,510896317,79,280.5,67035.7,239,339.6,33.2,79,11.82,2824.22,239,6.30,17.44,79,97.94,824,807,79,57.98,238,138,79,32.26,155,50,79,15.38,104,16,79,17.24,87,15
27,Cameron Smith,27,19,64,13,2,1,1059,2372487.0,299.8,54.5,73,64.1,1.736,57.5,8,247,703,170,3.859,144,64,169.25,70576.51,417,185.48,149.50,64,299.8,33578,112,64,2251.3,846490,376,3675,1523,64,112.31,20327.28,181,115.45,510896417,64,282.1,117634.9,417,334.3,218.3,64,11.36,4736.88,417,6.65,17.08,64,97.80,774,757,64,57.26,234,134,64,32.64,144,47,64,14.81,108,16,64,18.18,77,14
28,Cameron Champ,26,20,70,15,2,1,963,2290839.0,322.0,56.4,2,67.7,1.775,48.2,7,283,760,189,4.043,180,70,189.18,39349.92,208,195.05,182.02,70,322.0,45082,140,70,2772.7,438081,158,3884,1614,70,127.00,25781.78,203,132.00,050729317,70,300.8,62258.6,207,369.1,2.4,70,5.98,1243.42,208,-1.56,10.61,70,95.83,887,850,70,54.55,242,132,70,35.67,171,61,70,14.05,121,17,70,12.00,75,9
29,Byeong Hun An,29,22,75,15,5,0,943,2283951.0,305.7,54.3,29,65.8,1.756,50.7,7,287,839,194,3.827,193,75,171.35,88075.55,514,178.31,161.83,75,305.7,38518,126,75,2438.4,1092392,448,3790,1631,75,113.68,25464.95,224,120.84,180510213,75,286.9,147453.2,514,347.9,20.7,75,12.08,6206.95,514,4.61,18.06,75,95.14,885,842,75,54.85,237,130,75,33.14,172,57,75,14.52,124,18,75,8.05,87,7
30,Adam Scott,41,10,38,9,1,1,832,2272434.0,308.1,55.5,19,68.1,1.740,55.1,7,144,437,86,3.789,98,38,177.63,21137.73,119,188.74,169.50,38,308.1,18483,60,38,2719.1,290941,107,3645,1548,38,118.23,13478.15,114,122.28,030552118,38,288.1,34280.1,119,358.2,56.1,38,9.36,1114.05,119,4.53,12.85,38,96.96,428,415,38,61.11,108,66,38,27.27,88,24,38,15.15,66,10,38,19.57,46,9
31,Kevin Kisner,37,21,73,15,4,0,1169,2266752.0,289.2,65.2,161,65.4,1.743,50.9,4,277,844,173,3.795,329,73,165.94,72016.10,434,172.57,155.91,73,289.2,37600,130,73,2677.1,1102949,412,3903,1646,73,111.96,23399.25,209,117.02,405012205,73,273.4,118670.0,434,327.4,229.3,73,10.11,4388.81,434,4.48,15.96,73,97.67,772,754,73,61.97,213,132,73,36.59,164,60,73,17.86,112,20,73,13.58,81,11
32,Matthew Wolff,22,21,74,16,2,0,921,2224348.0,311.6,59.0,9,66.8,1.772,43.5,6,286,824,191,3.865,222,74,180.92,40887.73,226,186.51,174.40,74,311.6,41135,132,74,2387.2,529958,222,3247,1698,74,121.32,26811.72,221,127.30,240009212,74,303.8,68664.7,226,344.9,35.5,74,10.30,2328.29,226,4.50,15.13,74,97.14,909,883,74,58.63,249,146,74,30.68,176,54,74,17.70,113,20,74,11.90,84,10
33,Gary Woodland,37,17,62,14,6,0,801,2195131.0,305.4,60.0,30,68.2,1.753,47.6,6,252,698,139,4.065,186,62,180.69,27645.93,153,187.17,173.58,62,305.4,32983,108,62,2645.6,357154,135,3960,1653,62,121.59,18116.81,149,127.45,500700109,62,293.4,44882.7,153,337.4,249.5,62,9.23,1412.72,153,3.94,13.36,62,97.41,734,715,62,56.39,227,128,62,32.89,152,50,62,25.45,110,28,62,8.45,71,6
34,Adam Long,33,25,88,18,3,0,950,2186913.0,292.0,62.5,142,67.7,1.756,45.2,12,333,999,218,3.784,132,88,166.02,42998.10,259,171.92,158.14,88,292.0,46713,160,88,2478.2,607148,245,3912,1534,88,110.52,28071.59,254,114.23,470883418,88,279.6,72427.9,259,316.9,239.9,88,13.90,3599.32,259,8.97,18.24,88,97.32,1006,979,88,58.78,279,164,88,32.14,196,63,88,18.18,121,22,88,9.62,104,10
35,Joel Dahmen,33,22,79,18,5,0,843,2120973.0,295.4,64.6,115,63.9,1.747,50.7,10,291,892,208,3.684,142,79,167.57,91493.83,546,173.33,151.25,79,295.4,41944,142,79,2612.2,1274760,488,3949,1544,79,111.79,24929.19,223,117.37,485895306,79,274.7,150005.0,546,328.9,222.5,79,10.69,5838.56,546,3.42,15.83,79,96.90,902,874,79,52.43,267,140,79,30.73,179,55,79,13.89,108,15,79,22.50,80,18
36,Patrick Cantlay,29,12,46,11,3,0,922,2118336.0,303.1,59.4,40,68.4,1.723,55.4,7,191,508,112,4.152,118,46,174.44,61576.91,353,178.94,165.65,46,303.1,27884,92,46,2416.8,797557,330,3249,1570,46,115.79,16210.12,140,120.03,500700114,46,288.4,101525.3,352,327.5,209.8,46,10.34,3650.75,353,3.93,14.68,46,97.25,618,601,46,57.37,190,109,46,31.48,108,34,46,23.08,78,18,46,12.68,71,9
37,Matt Fitzpatrick,26,15,54,12,5,0,887,2109709.0,294.7,64.6,121,66.0,1.734,47.2,7,198,617,134,3.667,139,54,168.40,70222.12,417,177.99,153.88,54,294.7,27114,92,54,2609.4,1004602,385,3785,1595,54,112.43,17988.75,160,118.30,483513316,54,273.1,113899.4,417,343.8,52.4,54,9.24,3851.25,417,-3.82,19.18,54,97.80,592,579,54,64.97,177,115,54,33.33,132,44,54,20.69,87,18,54,17.74,62,11
39,Mackenzie Hughes,30,22,70,12,4,0,980,2079951.0,298.7,55.8,83,63.4,1.735,54.4,5,260,797,172,3.714,252,70,171.65,43427.18,253,177.83,165.68,70,298.7,41821,140,70,2656.2,632165,238,3979,1767,70,115.14,28554.16,248,120.62,520688304,70,285.3,72192.3,253,333.2,247.4,70,11.29,2857.15,253,7.24,15.25,70,97.41,851,829,70,63.64,231,147,70,37.04,162,60,70,17.74,124,22,70,15.48,84,13
40,Danny Lee,30,22,69,13,3,0,777,2043764.0,302.0,57.1,48,65.6,1.750,53.1,6,280,743,188,4.058,207,69,170.50,36486.72,214,176.65,161.01,69,302.0,36840,122,69,2363.1,465537,197,3793,1550,69,114.40,23909.51,209,119.89,040538103,69,287.2,61456.8,214,325.4,239.1,69,13.29,2843.24,214,3.19,18.49,69,95.85,772,740,69,54.89,266,146,69,35.71,140,50,69,20.35,113,23,69,12.33,73,9
41,Viktor Hovland,23,20,74,17,3,1,1009,1982275.0,299.3,63.2,77,68.5,1.726,45.5,14,294,820,179,3.973,95,74,168.99,98687.70,584,176.06,159.69,74,299.3,39512,132,74,2488.9,1406214,565,3982,1502,74,113.14,27154.70,240,118.98,510896202,74,283.7,165705.2,584,333.1,230.6,74,12.01,7015.74,584,7.18,16.27,74,97.03,809,785,74,58.96,251,148,74,30.82,159,49,74,17.74,124,22,74,14.66,116,17
42,Jason Day,33,17,53,10,5,0,666,1943898.0,299.7,55.9,74,64.8,1.746,65.5,5,199,609,126,3.755,191,53,174.07,24892.48,143,178.57,164.51,53,299.7,26976,90,53,2410.4,339866,141,3458,1518,53,117.58,16226.39,138,122.69,510896118,53,289.9,41455.8,143,319.9,260.4,53,10.66,1524.51,143,6.50,16.02,53,97.20,571,555,53,54.25,153,83,53,36.04,111,40,53,22.67,75,17,53,8.93,56,5
43,Nick Taylor,33,18,59,11,2,1,741,1897539.0,296.6,64.2,101,66.9,1.757,46.3,10,210,673,153,3.559,106,59,165.42,58887.74,356,170.05,159.20,59,296.6,34999,118,59,2560.5,896163,350,3459,1529,59,110.18,18620.10,169,115.93,030552413,59,279.6,99548.4,356,308.0,235.3,59,12.03,4282.28,356,6.52,16.82,59,97.31,706,687,59,56.58,228,129,59,27.82,133,37,59,20.45,88,18,59,13.89,72,10
44,Paul Casey,44,15,56,13,1,0,730,1868952.0,307.2,63.6,23,70.6,1.774,47.5,6,204,660,122,3.643,168,56,175.12,28019.25,160,180.52,170.11,56,307.2,29490,96,56,2465.3,379656,154,3943,1557,56,116.35,18034.74,155,120.74,160704316,56,287.9,46070.0,160,335.1,47.1,56,10.18,1629.25,160,6.00,15.54,56,96.31,651,627,56,54.89,184,101,56,28.81,118,34,56,9.76,82,8,56,11.84,76,9
45,Tom Hoge,32,24,74,13,3,0,728,1857073.0,290.4,60.6,151,65.6,1.768,43.3,3,279,835,197,3.770,444,74,167.51,38861.19,232,171.74,162.10,74,290.4,42976,148,74,2503.1,543170,217,3357,1676,74,111.97,24969.27,223,117.49,510896118,74,274.3,63640.8,232,307.6,242.8,74,10.94,2538.91,232,6.83,14.53,74,96.89,933,904,74,60.14,281,169,74,26.92,182,49,74,18.75,128,24,74,14.02,107,15
