RK,PLAYER,AGE,EVENTS,ROUNDS,CUTS MADE,TOP 10,WINS,CUP POINTS,EARNINGS,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.,EAGLES,BIRDIES,PARS,BOGEYS,BIRDIES/RD,HOLES/EAGLE
174,Wes Roach,32,14,40,7,2,0,123,267966.0,290.5,62.6,150,67.9,1.771,39.0,8,149,442,106,3.725,90
175,Kevin Tway,32,0,48,7,0,0,110,256320.0,303.8,49.9,36,62.6,1.787,39.2,2,158,536,157,3.292,432
176,Kramer Hickok,29,0,49,7,0,0,131,253646.0,292.8,67.2,139,66.2,1.825,49.2,3,156,586,125,3.184,294
177,Roger Sloan,34,0,51,7,0,0,131,253597.0,291.5,58.3,145,65.6,1.779,54.4,7,174,588,133,3.412,131
178,Chris Stroud,39,0,46,6,0,0,120,249013.0,287.0,59.4,167,64.6,1.738,53.3,2,176,510,127,3.826,414
179,Grayson Murray,27,14,36,5,1,0,100,244150.0,313.8,54.2,5,63.9,1.758,43.5,5,143,375,104,3.972,130
180,Jimmy Walker,43,0,46,6,0,0,112,243370.0,298.0,46.8,89,62.2,1.765,37.1,4,159,491,148,3.457,207
183,Martin Laird,38,12,39,7,1,0,106,232786.0,302.1,63.7,46,70.5,1.806,32.2,8,140,446,98,3.590,88
184,J.J. Spaun,30,0,58,10,0,0,102,232472.0,297.4,57.8,95,66.0,1.758,45.8,4,221,619,175,3.810,261
185,Jim Furyk,51,0,39,6,0,0,108,224450.0,280.2,74.5,192,74.2,1.793,45.5,3,135,461,93,3.462,234
189,Matt Every,37,0,45,6,0,0,94,202546.0,292.3,58.0,140,65.1,1.769,39.5,3,178,456,143,3.956,270
197,Kevin Chappell,35,0,41,7,0,0,75,176506.0,300.6,56.5,67,65.2,1.748,47.6,5,158,447,110,3.854,148
