PLAYER,APEX_HEIGHT_ROUNDS,APEX_HEIGHT_AVG,TOTAL APEX HEIGHT,APEX_HEIGHT_TOTAL ATTEMPTS,HIGHEST APEX POINT,LOWEST APEX POINT
Sebastián Muñoz,84,"97' 0""",6582',377,"139' 10""",0000000656
Robby Shelton,75,"97' 0""","1246' 7""",219,"141' 0""",0000000714
Kevin Na,71,"96' 10""","5552' 4""",367,"142' 11""",0000000525
Xander Schauffele,70,"96' 8""","2420' 7""",232,"140' 11""",0000000440
Matt Kuchar,56,"96' 5""","92' 11""",416,"149' 10""",0000000674
Cameron Percy,49,"96' 5""","736' 5""",215,"135' 10""",0000000684
Scott Brown,64,"96' 5""","7357' 9""",180,"130' 3""",0000000818
Scott Piercy,66,"96' 4""",8242',397,"145' 8""",0000000207
Hank Lebioda,57,"96' 3""",3665',142,"139' 10""",0000000696
Kramer Hickok,51,"96' 2""","284' 11""",211,"148' 4""",0000000621
Nate Lashley,52,"96' 2""",8842',300,"129' 6""",0000000695
Zac Blair,70,"95' 9""",9268',410,"129' 1""",0000000684
Stewart Cink,51,"95' 8""","7406' 2""",182,"136' 2""",0000000713
Joel Dahmen,79,"95' 7""","2166' 3""",546,"152' 2""",0000000365
Vincent Whaley,40,"95' 6""","4324' 7""",150,"146' 9""",0000000558
Nick Watney,46,"95' 5""","2495' 0""",131,"143' 7""",0000000569
Talor Gooch,83,"94' 10""","672' 9""",218,"137' 10""",0000000573
Tyler Duncan,83,"94' 10""","8642' 4""",513,"133' 4""",0000000779
Chez Reavie,77,"94' 8""",3533',460,"156' 0""",0000000648
Anirban Lahiri,35,"94' 8""","6814' 6""",72,"127' 9""",0000000467
Xinjun Zhang,77,"94' 6""","971' 8""",222,"132' 0""",0000000532
Tim Wilkinson,50,"94' 6""","2779' 0""",241,"139' 6""",0000000430
Kevin Kisner,73,"94' 5""","979' 1""",434,"148' 9""",0000000716
Arjun Atwal,35,"93' 9""",7969',85,"127' 5""",0000000622
Russell Henley,67,"93' 9""","814' 7""",222,"133' 4""",0000000353
K.H. Lee,76,"93' 6""","5' 5""",214,"124' 3""",0000000599
Fabián Gómez,59,"93' 6""","2718' 9""",136,"132' 4""",0000000394
Marc Leishman,61,"93' 3""","3703' 6""",147,"140' 7""",0000000553
"Ted Potter, Jr.",46,"93' 1""","2844' 1""",138,"135' 0""",0000000595
D.J. Trahan,49,"92' 9""","9556' 0""",103,"131' 2""",0000000584
Robert Streb,54,"92' 5""",7737',192,"151' 2""",0000000428
Matt Jones,76,"92' 3""","7983' 4""",520,"134' 11""",0000000397
